"zipcode" "percentile" "superzip" "rank" "city" "state" "adultpop" "households" "college" "income."
"92602" 98.62663 1 233 "Irvine" "CA" 1935 804 "64.13%" 149.892
"33480" 98.62337 1 234 "Palm Beach" "FL" 9997 3178 "52.48%" 169.811
"90290" 98.6195 1 235 "Topanga" "CA" 4067 1319 "60.98%" 154.936
"48009" 98.61438 1 236 "Birmingham" "MI" 14583 5119 "67.14%" 144.25
"94526" 98.60411 1 237 "Danville" "CA" 22822 9653 "58.05%" 159.741
"2114" 98.59532 1 238 "Boston" "MA" 9223 1570 "70.74%" 137.797
"22308" 98.59038 1 239 "Alexandria" "VA" 8804 3679 "67.40%" 142.942
"63105" 98.5852 1 240 "Saint Louis" "MO" 10017 3022 "70.30%" 137.915
"10501" 98.58232 1 NA "Amawalk" "NY" 468 208 "58.33%" 158.51
"1467" 98.58216 1 NA "Still River" "MA" 127 40 "70.08%" 138.226
"7059" 98.57956 1 241 "Warren" "NJ" 9366 3917 "58.25%" 158.564
"55424" 98.57519 1 242 "Minneapolis" "MN" 6541 2786 "70.54%" 137.384
"10016" 98.56199 1 243 "New York" "NY" 41544 7973 "68.79%" 140.174
"1740" 98.54984 1 244 "Bolton" "MA" 2768 1193 "67.30%" 142.485
"10533" 98.54768 1 245 "Irvington" "NY" 5057 2067 "61.24%" 152.91
"19096" 98.54367 1 246 "Wynnewood" "PA" 9569 3694 "65.20%" 146.036
"37215" 98.53667 1 247 "Nashville" "TN" 15933 5449 "70.13%" 137.454
"64113" 98.53004 1 248 "Kansas City" "MO" 8230 3233 "75.72%" 127.812
"20037" 98.52589 1 249 "Washington" "DC" 6882 1006 "75.88%" 127.527
"78738" 98.52341 1 250 "Austin" "TX" 2135 892 "63.23%" 149.27
"7733" 98.52002 1 251 "Holmdel" "NJ" 10205 4262 "55.68%" 162.262
"20171" 98.51144 1 252 "Herndon" "VA" 21066 9296 "67.32%" 142.179
"11753" 98.50344 1 253 "Jericho" "NY" 8062 3391 "61.21%" 152.394
"20777" 98.50066 1 254 "Highland" "MD" 2028 821 "55.18%" 162.696
"20880" 98.50002 1 NA "Washington Grove" "MD" 343 141 "76.09%" 126.397
"45174" 98.49956 1 255 "Terrace Park" "OH" 1403 648 "70.71%" 135.672
"10590" 98.49787 1 256 "South Salem" "NY" 4673 2057 "62.40%" 149.741
"19025" 98.49564 1 257 "Dresher" "PA" 3492 1538 "67.70%" 140.339
"19087" 98.48898 1 258 "Wayne" "PA" 20784 7760 "68.75%" 138.187
"6092" 98.48254 1 259 "West Simsbury" "CT" 2676 1236 "65.81%" 143.157
"7934" 98.48149 1 260 "Gladstone" "NJ" 1115 466 "59.73%" 153.444
"1718" 98.48111 1 NA "Village of Nagog Woods" "MA" 302 117 "76.82%" 123.91
"48374" 98.47913 1 261 "Novi" "MI" 6915 3225 "58.96%" 154.563
"18977" 98.4765 1 262 "Washington Crossing" "PA" 2654 1138 "64.47%" 145.024
"60558" 98.4735 1 263 "Western Springs" "IL" 8312 3724 "65.94%" 142.354
"1890" 98.46716 1 264 "Winchester" "MA" 14800 5831 "64.91%" 144.131
"10502" 98.46217 1 265 "Ardsley" "NY" 3313 1392 "59.70%" 153.08
"19333" 98.45978 1 266 "Devon" "PA" 5432 1853 "71.69%" 132.432
"80111" 98.4537 1 267 "Englewood" "CO" 16688 7068 "67.90%" 138.78
"76034" 98.44569 1 268 "Colleyville" "TX" 12535 5831 "56.23%" 158.584
"31411" 98.44061 1 269 "Savannah" "GA" 5950 2709 "67.11%" 139.6
"7401" 98.43779 1 270 "Allendale" "NJ" 4359 1783 "62.31%" 147.754
"19010" 98.4328 1 271 "Bryn Mawr" "PA" 13772 4756 "63.81%" 145.086
"7946" 98.42848 1 272 "Millington" "NJ" 1975 836 "58.94%" 153.483
"77382" 98.42561 1 273 "Spring" "TX" 8520 3973 "65.16%" 142.6
"48025" 98.42044 1 274 "Franklin" "MI" 10294 4187 "64.80%" 142.937
"10570" 98.41544 1 275 "Pleasantville" "NY" 7898 3236 "59.79%" 151.323
"75024" 98.40967 1 276 "Plano" "TX" 13147 5265 "66.65%" 139.46
